City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hell-ville,-13.4,48.2667,300.6,77,100,1.9,MG,1704395979
1,geraldton,-28.7667,114.6,298.38,36,0,11.83,AU,1704395979
2,tottori,35.5,134.2333,278.33,79,0,3.48,JP,1704395931
3,laojunmiao,39.8333,97.7333,266.9,33,6,1.68,CN,1704395980
4,concepcion,-36.827,-73.0498,293.04,73,0,6.17,CL,1704395867
5,udachny,66.4167,112.4,234.74,98,71,1.57,RU,1704395880
6,waitangi,-43.9535,-176.5597,290.83,85,100,4.47,NZ,1704395981
7,adamstown,-25.066,-130.1015,296.46,85,73,5.53,PN,1704395981
8,mogocha,53.7333,119.7667,243.92,100,33,1.07,RU,1704395981
9,blackmans bay,-43.0167,147.3167,285.22,87,39,1.42,AU,1704395864
10,langepas,61.2544,75.2124,252.55,98,100,6.32,RU,1704395982
11,bucovice,49.149,17.0019,282.17,84,86,7.91,CZ,1704395775
12,port mathurin,-19.6833,63.4167,301.23,83,77,3.48,MU,1704395983
13,aioun,16.6614,-9.6149,299.74,10,77,4.38,MR,1704395983
14,bethel,41.3712,-73.414,279.83,66,100,3.09,US,1704395983
15,klaksvik,62.2266,-6.589,279.66,97,100,14.28,FO,1704395984
16,tiksi,71.6872,128.8694,238.55,99,94,1.25,RU,1704395984
17,sinabang,2.4803,96.3801,299.87,78,36,0.79,ID,1704395984
18,hithadhoo,-0.6,73.0833,301.2,76,100,3.4,MV,1704395985
19,bredasdorp,-34.5322,20.0403,292.27,86,98,5.94,ZA,1704395985
20,puerto ayora,-0.7393,-90.3518,304.13,93,81,2.24,EC,1704395873
21,puerto deseado,-47.7503,-65.8938,299.45,28,100,10.94,AR,1704395986
22,kimbe,-5.5502,150.1429,298.08,92,99,1.45,PG,1704395986
23,keflavik,64.0049,-22.5624,274.1,80,75,3.6,IS,1704395986
24,albany,42.6001,-73.9662,277.13,59,28,3.58,US,1704395963
25,college,64.8569,-147.8028,260.12,66,75,6.17,US,1704395720
26,nyurba,63.2842,118.3319,243.47,96,100,3.32,RU,1704395987
27,andratx,39.5755,2.4202,288.43,89,93,3.41,ES,1704395987
28,whitehorse,60.7161,-135.0538,264.58,92,75,10.8,CA,1704395851
29,carnarvon,-24.8667,113.6333,297.39,79,0,5.16,AU,1704395988
30,jamestown,42.097,-79.2353,269.92,72,94,2.68,US,1704395988
31,invercargill,-46.4,168.35,284.27,72,100,4.47,NZ,1704395988
32,port-aux-francais,-49.35,70.2167,277.91,70,35,13.22,TF,1704395989
33,pisco,-13.7,-76.2167,300.18,61,0,4.63,PE,1704395989
34,grytviken,-54.2811,-36.5092,280.71,75,66,3.19,GS,1704395989
35,ilulissat,69.2167,-51.1,268.16,80,75,4.63,GL,1704395989
36,hermanus,-34.4187,19.2345,294.31,76,100,4.85,ZA,1704395990
37,lionel town,17.8101,-77.2406,304.09,69,25,4.54,JM,1704395990
38,sigulda,57.1519,24.8647,258.57,89,100,1.34,LV,1704395990
39,axim,4.8699,-2.2405,300.63,77,8,2.1,GH,1704395990
40,bikenibeu village,1.3673,173.1241,298.13,94,100,5.14,KI,1704395991
41,bei'an,24.5399,109.533,285.88,70,100,1.11,CN,1704395991
42,lihue,21.9789,-159.3672,296.92,79,75,4.12,US,1704395991
43,balkashino,52.5167,68.7667,269.72,96,100,6.34,KZ,1704395992
44,pakuranga,-36.8833,174.9167,292.25,64,40,1.03,NZ,1704395992
45,rabigh,22.7986,39.0349,298.46,57,10,2.02,SA,1704395992
46,midvagur,62.0511,-7.1939,279.61,93,100,8.23,FO,1704395992
47,porto novo,6.4965,2.6036,302.05,70,95,4.0,BJ,1704395993
48,ballina,-28.8667,153.5667,296.36,90,80,5.59,AU,1704395993
49,qaqortoq,60.7167,-46.0333,266.25,89,100,2.58,GL,1704395993
50,kununurra,-15.7667,128.7333,299.14,94,100,1.54,AU,1704395994
51,haiku-pauwela,20.9219,-156.3051,297.06,73,20,2.06,US,1704395994
52,igarka,67.4667,86.5833,247.72,95,100,9.12,RU,1704395994
53,tonghae,37.5439,129.1069,278.31,69,31,4.73,KR,1704395994
54,puerto natales,-51.7236,-72.4875,289.4,77,75,2.06,CL,1704395854
55,amahai,-3.3333,128.9167,299.56,81,100,1.5,ID,1704395995
56,ancud,-41.8697,-73.8203,290.89,77,35,4.41,CL,1704395887
57,st. john's,47.5649,-52.7093,273.53,94,100,7.2,CA,1704395995
58,port douglas,-16.4833,145.4667,299.62,80,94,1.52,AU,1704395996
59,olonkinbyen,70.9221,-8.7187,267.24,54,100,2.46,SJ,1704395996
60,bilibino,68.0546,166.4372,243.75,99,100,0.56,RU,1704395996
61,argo,37.6333,22.7333,289.7,81,93,2.58,GR,1704395996
62,iqaluit,63.7506,-68.5145,256.0,60,40,2.06,CA,1704395997
63,kailua-kona,19.6406,-155.9956,298.99,69,0,2.06,US,1704395997
64,khandud,36.9513,72.318,266.49,75,100,1.76,AF,1704395997
65,sao gabriel da cachoeira,-0.1303,-67.0892,306.04,58,40,2.06,BR,1704395997
66,santa barbara,34.7333,-120.0343,287.2,57,0,6.17,US,1704395813
67,west island,-12.1568,96.8225,300.14,89,40,4.12,CC,1704395998
68,wailua homesteads,22.0669,-159.378,296.59,82,75,4.12,US,1704395998
69,longyearbyen,78.2186,15.6401,253.06,65,75,5.66,SJ,1704395998
70,lamu,-2.2717,40.902,300.27,81,2,5.69,KE,1704395999
71,federacion,-31.0062,-57.8996,300.51,58,100,4.27,AR,1704395999
72,saldanha,-33.0117,17.9442,292.18,86,45,1.4,ZA,1704395999
73,namibe,-15.1961,12.1522,295.51,75,24,5.2,AO,1704396000
74,vadso,70.0744,29.7487,258.24,85,100,5.14,NO,1704396000
75,talnakh,69.4865,88.3972,248.26,95,100,9.06,RU,1704396000
76,edinburgh of the seven seas,-37.0676,-12.3116,288.4,65,7,12.27,SH,1704396001
77,vilyuchinsk,52.9306,158.4028,259.78,74,100,3.95,RU,1704396001
78,codrington,-38.2667,141.9667,289.67,95,100,5.45,AU,1704396001
79,iskateley,67.6803,53.1512,259.83,98,100,2.68,RU,1704395859
80,enewetak,11.3474,162.3373,300.37,77,100,8.58,MH,1704396002
81,greenville,35.6127,-77.3663,282.24,54,75,5.66,US,1704395875
82,freeport,40.6576,-73.5832,280.93,56,75,9.26,US,1704395854
83,colonia,50.9333,6.95,280.79,81,75,3.09,DE,1704396003
84,ulladulla,-35.35,150.4667,290.89,86,83,3.18,AU,1704396004
85,coracora,-15.0333,-73.7833,286.39,79,100,4.35,PE,1704396004
86,kodiak,57.79,-152.4072,274.88,93,100,1.54,US,1704396004
87,vila franca do campo,37.7167,-25.4333,291.42,99,98,3.27,PT,1704396006
88,nar'yan-mar,67.6713,53.087,259.88,98,100,2.68,RU,1704395849
89,ta`u,-14.2336,-169.5144,301.11,77,25,7.05,AS,1704396007
90,mahina,-17.5065,-149.489,301.02,74,75,4.63,PF,1704396009
91,emerald,-23.5333,148.1667,298.42,72,97,2.66,AU,1704396010
92,margaret river,-33.95,115.0667,286.97,79,6,5.8,AU,1704395842
93,puerto baquerizo moreno,-0.9,-89.6,302.7,79,20,5.14,EC,1704396014
94,kargasok,59.0556,80.8572,247.02,92,100,4.47,RU,1704396015
95,san patricio,28.017,-97.5169,293.06,74,95,6.7,US,1704396015
96,viedma,-40.8135,-62.9967,305.15,26,100,4.36,AR,1704396016
97,dzuunmod,48.2199,97.3744,249.78,77,0,3.11,MN,1704396016
98,yuzhno-kurilsk,44.0306,145.8556,271.69,63,50,2.13,RU,1704396016
99,gamba,-2.65,10.0,298.96,82,100,2.34,GA,1704396016
100,mogadishu,2.0371,45.3438,299.67,72,12,8.48,SO,1704395818
101,sao desiderio,-12.3633,-44.9733,299.9,81,87,3.07,BR,1704396020
102,ouadda,8.0777,22.4007,295.13,20,76,1.96,CF,1704396021
103,preobrazheniye,42.9019,133.9064,271.93,91,100,2.13,RU,1704396021
104,taoudenni,22.6783,-3.9836,295.63,13,5,4.04,ML,1704396022
105,yellowknife,62.456,-114.3525,239.98,80,40,0.0,CA,1704396023
106,holualoa,19.6228,-155.9522,296.36,69,0,2.06,US,1704395789
107,oltinko'l,40.8011,72.1634,278.97,47,100,0.94,UZ,1704396023
108,georgetown,5.4112,100.3354,301.11,85,20,1.54,MY,1704396024
109,ore,6.7457,4.8775,301.34,70,100,1.89,NG,1704396024
110,norman gardens,-23.3224,150.5393,297.44,88,40,2.06,AU,1704396024
111,uribia,11.7139,-72.266,306.01,46,12,8.9,CO,1704396025
112,grass valley,39.2191,-121.0611,282.36,75,0,2.06,US,1704396025
113,punta arenas,-53.15,-70.9167,286.16,82,75,4.12,CL,1704395988
114,rayadrug,14.7,76.8667,295.91,73,98,4.99,IN,1704396026
115,miguel ahumada,30.6167,-106.5167,284.59,23,45,12.63,MX,1704396026
116,severo-yeniseyskiy,60.3725,93.0408,235.69,100,55,1.79,RU,1704396027
117,hawaiian paradise park,19.5933,-154.9731,295.31,96,75,2.06,US,1704396027
118,kingston,17.997,-76.7936,303.68,69,20,6.69,JM,1704395395
119,necochea,-38.5473,-58.7368,301.24,41,82,5.16,AR,1704396028
120,howard springs,-12.497,131.047,299.1,94,100,2.1,AU,1704395916
121,avarua,-21.2078,-159.775,300.18,83,75,6.69,CK,1704396028
122,pathein,16.7833,94.7333,293.14,87,11,2.07,MM,1704396029
123,mariehamn,60.0973,19.9348,264.16,85,20,5.14,AX,1704396029
124,utrik,11.2278,169.8474,299.67,67,100,10.31,MH,1704396030
125,hobyo,5.3505,48.5268,298.86,70,95,7.85,SO,1704396030
126,aasiaat,68.7098,-52.8699,265.92,83,100,3.16,GL,1704396030
